GO	GOTERM	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
GO:0009888	tissue development	Distrofia de Retina	7	716	0.00977653631284916	1.27474656352589e-34	AGRN,ATRNL1,LAMA2,LAMA3,LAMC3,POSTN,USH2A	2.20613397203755e-32
GO:0007018	microtubule-based movement	Distrofia de Retina	6	716	0.00837988826815642	2.59002919507769e-38	DNAH11,DNAH5,DYNC2H1,KIF17,KIF21A,KIF22	9.26367108772787e-36
GO:0001649	osteoblast differentiation	Distrofia de Retina	6	716	0.00837988826815642	5.61753053518862e-08	ALPL,FASN,HSD17B4,IFT80,NF1,RUNX2	5.99166030244273e-07
GO:0046677	response to antibiotic	Distrofia de Retina	3	716	0.00418994413407821	1.17901523063998e-08	ALPL,JAK2,RSRC1	1.41192337329989e-07
GO:0006699	bile acid biosynthetic process	Distrofia de Retina	3	716	0.00418994413407821	4.52911391500682e-06	ABCB11,ABCD3,SCP2	3.58864150358321e-05
GO:0009411	response to UV	Distrofia de Retina	6	716	0.00837988826815642	5.67721185415181e-12	ERCC5,ERCC8,RO60,TRIM32,USP1,UVSSA	1.01527471991748e-10
GO:0033138	positive regulation of peptidyl-serine phosphorylation	Distrofia de Retina	5	716	0.00698324022346369	3.90488957927967e-24	AKAP9,DOCK7,IRGM,PIK3CA,TBK1	2.46467442268652e-22
GO:0120163	negative regulation of cold-induced thermogenesis	Distrofia de Retina	3	716	0.00418994413407821	4.80311536540993e-31	DOCK7,LAMA4,RB1	6.44217848385607e-29
GO:0006644	phospholipid metabolic process	Distrofia de Retina	2	716	0.00279329608938547	5.69266753811582e-15	ANGPTL3,LPL	1.40097070376107e-13
GO:0009725	response to hormone	Distrofia de Retina	5	716	0.00698324022346369	1.44255668491219e-16	ANGPTL3,NCOA4,NQO1,SNRPN,TUB	4.25237176623841e-15
GO:0048704	embryonic skeletal system morphogenesis	Distrofia de Retina	3	716	0.00418994413407821	2.40241478828692e-17	BMI1,COL11A1,FLVCR1	7.67199722569007e-16
GO:0007186	G protein-coupled receptor signaling pathway	Distrofia de Retina	9	716	0.0125698324022346	4.24018028424701e-11	ABCA1,ADGRV1,AKR1C2,ATRNL1,C5,CELSR1,GPSM2,JAK2,LHB	6.73295353601863e-10
GO:0035335	peptidyl-tyrosine dephosphorylation	Distrofia de Retina	8	716	0.0111731843575419	8.14854029665313e-12	EYA4,MTMR2,PTEN,PTPN22,PTPRC,PTPRK,PTPRN2,TPTE	1.42865747357987e-10
GO:0006959	humoral immune response	Distrofia de Retina	4	716	0.00558659217877095	8.08195603186906e-11	BLNK,BMI1,IFNG,NOTCH2	1.22485011612931e-09
GO:0019827	stem cell population maintenance	Distrofia de Retina	4	716	0.00558659217877095	0.0108739180903913	CDC73,NIPBL,NOTCH2,SMC3	0.0377840482868843
GO:0030326	embryonic limb morphogenesis	Distrofia de Retina	2	716	0.00279329608938547	1.0235259397175e-20	DYNC2H1,NOTCH2	4.42840053756805e-19
GO:0006606	protein import into nucleus	Distrofia de Retina	5	716	0.00698324022346369	2.79822360995345e-08	LRRK2,PIK3R1,PPP3CA,TPR,TXNIP	3.17388365061316e-07
GO:0042542	response to hydrogen peroxide	Distrofia de Retina	5	716	0.00698324022346369	4.0329993925941e-15	HBB,HP,TRPA1,TXNIP,UBE3A	1.01107671688165e-13
GO:0006739	NADP metabolic process	Distrofia de Retina	2	716	0.00279329608938547	0.000283305314336003	FMO2,IDH2	0.00154937106158273
GO:0060271	cilium assembly	Distrofia de Retina	21	716	0.0293296089385475	1.54280538936075e-55	AHI1,ARL13B,ARL6,BBS9,CCDC66,CEP290,DNAH5,DYNC2H1,IFT80,IFT88,IQCB1,NEK1,NPHP3,PCM1,PCNT,RO60,SCLT1,SNX10,TMEM67,WDR11,WDR35	8.27715091392042e-52
GO:0050680	negative regulation of epithelial cell proliferation	Distrofia de Retina	6	716	0.00837988826815642	9.38350953932199e-20	CDC73,IFT80,MCC,PAX6,PTEN,RB1	3.64800932452627e-18
GO:0034446	substrate adhesion-dependent cell spreading	Distrofia de Retina	5	716	0.00698324022346369	1.23234961205801e-21	ATRNL1,LAMC3,MERTK,PIK3R1,USH2A	6.09829081960497e-20
GO:0048496	maintenance of animal organ identity	Distrofia de Retina	4	716	0.00558659217877095	9.02702692013598e-21	ADGRV1,IQCB1,NPHP3,USH2A	3.93739832736012e-19
GO:0050896	response to stimulus	Distrofia de Retina	9	716	0.0125698324022346	2.38930523958555e-30	BBS9,CDH23,CNGA1,MYO3A,RLBP1,SLC24A5,UGT2A1,USH2A,WDR36	3.12649331960402e-28
GO:0050953	sensory perception of light stimulus	Distrofia de Retina	6	716	0.00837988826815642	2.6629594372468e-27	ADGRV1,CDH23,PCDH15,USH1C,USH1G,USH2A	2.38112956347151e-25
GO:0061512	protein localization to cilium	Distrofia de Retina	8	716	0.0111731843575419	4.12887085027365e-44	ARL6,BBS9,CCDC39,DYNC2H1,SNX10,TTC21B,TUB,WDR35	2.0137629192471e-41
GO:0007265	Ras protein signal transduction	Distrofia de Retina	5	716	0.00698324022346369	2.73071954132712e-11	NF1,PLCE1,RB1,RFXANK,SOS1	4.46655803025e-10
GO:2000300	regulation of synaptic vesicle exocytosis	Distrofia de Retina	2	716	0.00279329608938547	1.2389817322217e-21	LRRK2,PREPL	6.09829081960497e-20
GO:0071625	vocalization behavior	Distrofia de Retina	3	716	0.00418994413407821	1.59121493977394e-12	DLG4,MYH14,NRXN1	3.01656118441243e-11
GO:0070584	mitochondrion morphogenesis	Distrofia de Retina	3	716	0.00418994413407821	3.05557841087664e-09	MYH14,PNPT1,POLG2	3.94066783037336e-08
GO:0006487	protein N-linked glycosylation	Distrofia de Retina	5	716	0.00698324022346369	1.85633184351971e-05	ENTPD5,MGAT4A,MGAT4C,STT3B,TUSC3	0.000130594013360955
GO:0019082	viral protein processing	Distrofia de Retina	2	716	0.00279329608938547	1.85971717069468e-05	MGAT4A,MGAT4C	0.000130594013360955
GO:0001822	kidney development	Distrofia de Retina	9	716	0.0125698324022346	5.67246217581938e-18	BCL2L11,CEP290,DYNC2H1,HPGD,IFT88,MME,NPHP3,PKD1,TGFBR1	1.92986158385316e-16
GO:0098586	cellular response to virus	Distrofia de Retina	4	716	0.00558659217877095	2.15619307328054e-07	HIF1A,IFIH1,IRGM,OAS1	2.13038229063538e-06
GO:0006814	sodium ion transport	Distrofia de Retina	8	716	0.0111731843575419	6.54736568284735e-11	SCN1A,SCN2A,SCN7A,SCN9A,SLC17A3,SLC4A4,SLC5A1,SLC5A5	1.01522014128543e-09
