GO	GOTERM	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
GO:0005604	basement membrane	Distrofia de Retina	19	716	0.026536312849162	4.97969242503377e-08	AGRN,ATRNL1,COL17A1,COL18A1,COL2A1,COL4A1,COL4A3,COL5A1,COL9A1,DST,FBN1,FREM1,HMCN1,LAMA2,LAMA3,LAMA4,LAMC3,THBS2,USH2A	4.94608713872986e-07
GO:0036064	ciliary basal body	Distrofia de Retina	14	716	0.0195530726256983	6.74797380036667e-61	AHI1,CAMSAP2,CCDC66,CEP290,EVC,GLE1,IFT80,IFT88,KIF17,PCM1,USH1G,USH2A,WDR11,WDR35	1.09249695827936e-57
GO:0016020	membrane	Distrofia de Retina	105	716	0.146648044692737	0.006798909182937	ABCA2,ABCC6,ABCD3,ACSL5,ADGRV1,AGPS,ALDH16A1,ALDOA,ALOX12,ALPL,ANO10,AP3B1,ARL6,ASCC3,ATF6,ATP2C1,BBS9,BCHE,BCR,BLNK,BUB1,CD36,CDH23,CEP290,CFI,CFTR,CHPT1,CHSY1,CORO1A,CTSA,CUL3,CYP19A1,DOCK4,DPM1,DSCAM,DST,ENTPD5,F5,FANCI,FASN,FMO2,GAL3ST2,GLE1,GTF2I,GYPC,HGF,HMMR,HSD17B4,IGF1R,IRF4,LAMC3,LBR,LDLR,LEMD3,LMBRD1,LRBA,LRPPRC,LYST,MAN1A2,MDN1,MSH3,MTMR2,MYH14,MYO1C,NBAS,NBEA,NF1,NIPA1,NOTCH2,NPHP1,NPM1,OAS1,PCM1,PCNT,PCSK1,PDPK1,PEX11B,PIK3CA,PIK3R1,PRRT2,PTCHD3,PTPRC,RANBP2,RIC1,RNF213,ROS1,RYK,SBF2,SCN2A,SCP2,SLC28A1,SLC3A1,SLC47A1,SLC4A4,SLC4A7,SLCO1B1,SPTAN1,STT3B,SUCO,TMPRSS15,TSPAN12,TUBGCP6,UGT2B17,UGT2B7,WDR11	0.0285907375770779
GO:0031966	mitochondrial membrane	Distrofia de Retina	5	716	0.00698324022346369	5.05834325957327e-17	ACAD11,ACADVL,ALPL,LRRK2,VPS13A	1.2599165749614e-15
GO:0009898	cytoplasmic side of plasma membrane	Distrofia de Retina	6	716	0.00837988826815642	7.75429350307019e-08	DSG1,EPB41,PPP3CA,PTEN,PTPN22,PTPRC	7.25676368871135e-07
GO:0045171	intercellular bridge	Distrofia de Retina	5	716	0.00698324022346369	0.00693768406895551	EPB41,FAN1,IQCB1,RFXANK,TEX14	0.0290987318850751
GO:0005782	peroxisomal matrix	Distrofia de Retina	5	716	0.00698324022346369	1.36248618038248e-12	ABCD3,AGPS,ATM,HSD17B4,SCP2	2.22814659195882e-11
GO:0045178	basal part of cell	Distrofia de Retina	3	716	0.00418994413407821	9.77279947770576e-28	ADCY10,DOCK7,ITGA2	5.27405411813521e-26
GO:0005794	Golgi apparatus	Distrofia de Retina	47	716	0.0656424581005587	3.76376462742191e-44	ABCA1,ABO,AKAP9,ANGPTL3,AP3B1,AP3B2,ATF6,ATP2C1,ATP8B1,ATR,CAMSAP2,CD36,CHPT1,CLN3,COQ6,CUL3,DCLRE1C,DOCK4,DYNC2H1,FASN,FBXW7,FTCD,FUT2,GALNT13,GALT,GFRA1,GNPTG,IRGM,KDR,LDLR,LRBA,LRRK2,MAN1A2,MTTP,PKD1,PREPL,PRKN,RAB18,RAB27A,SEMA6D,SI,SPATA16,SPEF2,SYNE1,TRAPPC2L,VPS13A,ZDHHC6	1.01558915529935e-41
GO:0016234	inclusion body	Distrofia de Retina	2	716	0.00279329608938547	1.42228536897243e-14	AGL,LRRK2	2.99325484720848e-13
GO:0005912	adherens junction	Distrofia de Retina	6	716	0.00837988826815642	2.92900970197686e-10	AHI1,CTNNA3,HMCN1,NPHP1,PTPRK,RDX	3.64774362115426e-09
GO:0019898	extrinsic component of membrane	Distrofia de Retina	6	716	0.00837988826815642	7.00780759964677e-10	BCL2L11,GFRA1,RB1CC1,SEC23A,TPR,VPS13A	8.46689589837919e-09
GO:0030496	midbody	Distrofia de Retina	3	716	0.00418994413407821	0.00379927125532606	ASPM,RDX,TEX14	0.0168060660174123
GO:0001917	photoreceptor inner segment	Distrofia de Retina	6	716	0.00837988826815642	3.68709402183923e-23	ADGRV1,CCDC66,SLC24A2,USH1C,USH1G,USH2A	1.49235130533943e-21
