GO	GOTERM	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
GO:0048306	calcium-dependent protein binding	Distrofia de Retina	6	716	0.00837988826815642	0.00753761415931705	CD177,CLN3,MASP1,MASP2,MBL2,SELP	0.0284864927568152
GO:0008022	protein C-terminus binding	Distrofia de Retina	15	716	0.0209497206703911	0.00119269568676408	CORO1A,DLG4,DST,EFHC1,EPB41,GPSM2,JAK2,MRE11,MYO1C,NIPBL,PEX6,SCLT1,SREBF2,TNNI3K,XRCC4	0.0056880225252106
GO:0047485	protein N-terminus binding	Distrofia de Retina	5	716	0.00698324022346369	2.99440029010639e-10	ATM,EPB41,ERCC5,NIPBL,NPM1	4.76014585800246e-09
GO:0051219	phosphoprotein binding	Distrofia de Retina	4	716	0.00558659217877095	1.04918304484819e-05	EPB41,RB1,TBK1,TRPV1	7.99054615525066e-05
GO:0017046	peptide hormone binding	Distrofia de Retina	3	716	0.00418994413407821	0.000501295382690304	EDNRB,GIPR,LEPR	0.00267758573740981
GO:0004672	protein kinase activity	Distrofia de Retina	15	716	0.0209497206703911	3.44220987350864e-09	ATR,BUB1,CDC42BPB,GRK1,JAK2,LRRK2,MYO3A,NEK1,ROCK1,SMG1,TBK1,TEX14,TGFBR1,TNNI3K,VRK1	4.56605720307139e-08
GO:0003723	RNA binding	Distrofia de Retina	31	716	0.0432960893854749	3.21381623386669e-10	ALDOA,ASCC3,CNOT4,CORO1A,DAZL,FASN,FIP1L1,IFIH1,LBR,LRPPRC,MTO1,MYEF2,NBPF10,NPM1,NQO1,PABPC4L,PAX6,PNPT1,POU5F1,PRPF31,RANBP2,RDX,RO60,SMG1,SMN1,SMN2,SNRPN,SYNE1,TPR,TRIM32,WDR36	5.02912024721483e-09
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	Distrofia de Retina	11	716	0.0153631284916201	0.00158162366799397	ATF6,FOXF2,GTF2I,HIF1A,IRF4,MECOM,PAX6,PGR,RFXANK,RUNX2,ZNF300	0.0074018509509157
GO:0046982	protein heterodimerization activity	Distrofia de Retina	10	716	0.0139664804469274	0.00277294548338886	AHR,ATF6,CFHR5,HIF1A,MAX,MTTP,PIK3R1,SLC3A1,SMC3,SOS1	0.0119189051571414
GO:0000287	magnesium ion binding	Distrofia de Retina	8	716	0.0111731843575419	2.23406566776865e-06	ADCY10,ATP10D,ATP8B1,CDC42BPB,FAN1,IDH2,LRRK2,WRN	1.98001483740735e-05
GO:0005518	collagen binding	Distrofia de Retina	6	716	0.00837988826815642	3.27087310776761e-09	COCH,COL6A2,ITGA2,ITGA9,MMP9,USH2A	4.36770588990568e-08
GO:0017022	myosin binding	Distrofia de Retina	4	716	0.00558659217877095	4.93042539131392e-13	MLPH,TRIM32,TRPM7,USH2A	1.10962270323616e-11
GO:0000149	SNARE binding	Distrofia de Retina	2	716	0.00279329608938547	1.74398180034355e-14	LRRK2,NBAS	5.37414699398174e-13
GO:0005096	GTPase activator activity	Distrofia de Retina	8	716	0.0111731843575419	7.32368178775064e-15	BCR,IQGAP2,LRRK2,NF1,RANBP2,RASA1,SEC23A,SOS1	2.32846581283564e-13
GO:0005198	structural molecule activity	Distrofia de Retina	7	716	0.00977653631284916	0.00418999426763547	COL4A3,DST,KRT37,LAMA2,LAMA3,LAMC3,NPHP1	0.0171626963559792
GO:0003724	RNA helicase activity	Distrofia de Retina	3	716	0.00418994413407821	5.15690607942019e-07	FANCM,IFIH1,RAD54B	5.11350637479141e-06
GO:0005248	voltage-gated sodium channel activity	Distrofia de Retina	4	716	0.00558659217877095	3.38227417526152e-13	SCN1A,SCN2A,SCN7A,SCN9A	8.0651133012486e-12
GO:0030332	cyclin binding	Distrofia de Retina	2	716	0.00279329608938547	3.83400819649571e-07	CUL3,FBXW7	3.83975920879045e-06
GO:0003924	GTPase activity	Distrofia de Retina	9	716	0.0125698324022346	1.25093989788046e-26	ARL13B,ARL6,IRGM,LRRK2,MMUT,RAB18,RAB27A,RASA1,SAR1B	1.25281630772728e-24
GO:0005525	GTP binding	Distrofia de Retina	7	716	0.00977653631284916	3.94743347249196e-13	ARL13B,ARL6,IRGM,LRRK2,RAB18,RAB27A,SAR1B	9.19384795976907e-12
