GO	GOTERM	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
GO:0002931	response to ischemia	Distrofia de Retina	1	461	0.00216919739696312	0.0108479402799715	PINK1	0.0308850507011345
GO:0016239	positive regulation of macroautophagy	Distrofia de Retina	2	461	0.00433839479392625	4.59766771046864e-09	PINK1,SESN2	4.01169045325205e-08
GO:0022904	respiratory electron transport chain	Distrofia de Retina	3	461	0.00650759219088937	3.60948627977819e-06	GBA,PINK1,PLEC	1.99778780410609e-05
GO:2000377	regulation of reactive oxygen species metabolic process	Distrofia de Retina	3	461	0.00650759219088937	6.52446820569516e-05	FOXM1,PINK1,PRKN	0.000295962115344989
GO:0009888	tissue development	Distrofia de Retina	2	461	0.00433839479392625	1.49733125137998e-11	HSPG2,LAMA1	1.81703906198008e-10
GO:0009749	response to glucose	Distrofia de Retina	4	461	0.00867678958785249	3.45163353288893e-10	COL4A3,EIF2B1,SESN2,TXNIP	3.5228828489348e-09
GO:1900182	positive regulation of protein localization to nucleus	Distrofia de Retina	2	461	0.00433839479392625	3.03717888015914e-12	EIF2AK3,SESN2	4.05869249750996e-11
GO:0060216	definitive hemopoiesis	Distrofia de Retina	3	461	0.00650759219088937	2.77545295119123e-06	CBFB,TEK,TGFBR3	1.57134422809173e-05
GO:0032722	positive regulation of chemokine production	Distrofia de Retina	3	461	0.00650759219088937	1.05194777873939e-05	CARD9,CHIA,TLR3	5.43339261987755e-05
GO:0007399	nervous system development	Distrofia de Retina	25	461	0.0542299349240781	1.96028019722988e-10	ADGRV1,APBA2,APC,GDNF,GRIK1,KCNQ2,MBD5,MYT1L,NAIP,NOTCH2,PCDHA1,PCDHA10,PCDHA11,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6,PCDHA7,PCDHA8,PCDHAC1,PCDHAC2,PSPN,SMARCB1,TYRO3	2.05252867709952e-09
GO:0007049	cell cycle	Distrofia de Retina	9	461	0.0195227765726681	5.2026950561042e-10	AHR,CCNH,CEP164,GAK,RCBTB1,SMARCB1,SPECC1L,STRADA,TXNIP	5.11081523171384e-09
GO:0051782	negative regulation of cell division	Distrofia de Retina	2	461	0.00433839479392625	7.88646103783585e-09	ORC6,TXNIP	6.67200601109687e-08
GO:0051216	cartilage development	Distrofia de Retina	4	461	0.00867678958785249	1.20166486464801e-09	CHI3L1,EVC,PKD1,TYMS	1.1234051780848e-08
GO:0030534	adult behavior	Distrofia de Retina	2	461	0.00433839479392625	2.2797836110303e-05	ALK,SPTBN2	0.000110512386373473
GO:0097421	liver regeneration	Distrofia de Retina	2	461	0.00433839479392625	0.00352221211735185	PNPT1,TYMS	0.01127614670663
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	Distrofia de Retina	8	461	0.017353579175705	1.23534619871547e-12	ATP2A3,CASP8,COL4A3,EIF2AK3,HIP1,JAK2,P2RX1,SLC22A2	1.72896402477588e-11
GO:0017148	negative regulation of translation	Distrofia de Retina	3	461	0.00650759219088937	1.65928630620966e-16	EIF2AK3,INPP5E,TYMS	3.65535844684801e-15
GO:0034976	response to endoplasmic reticulum stress	Distrofia de Retina	4	461	0.00867678958785249	2.96219519959423e-10	ATP2A1,EIF2AK3,PLA2G6,PRKN	3.05133533291535e-09
GO:0071260	cellular response to mechanical stimulus	Distrofia de Retina	5	461	0.0108459869848156	7.79166230851237e-14	BAG3,CASP8,PLEC,TLR3,TNFSF14	1.2427561746552e-12
GO:0001974	blood vessel remodeling	Distrofia de Retina	2	461	0.00433839479392625	1.72800604849484e-05	BMPR2,MDM2	8.53454707636186e-05
GO:0030501	positive regulation of bone mineralization	Distrofia de Retina	2	461	0.00433839479392625	4.59766771046864e-09	ADGRV1,BMPR2	4.01169045325205e-08
GO:0060173	limb development	Distrofia de Retina	1	461	0.00216919739696312	0.000669215360568796	BMPR2	0.00249832915648586
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	Distrofia de Retina	1	461	0.00216919739696312	7.58745926747036e-12	PIKFYVE	9.51104049020933e-11
