GO	GOTERM	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
GO:0005758	mitochondrial intermembrane space	Distrofia de Retina	4	461	0.00867678958785249	9.56543967157528e-06	GATM,PINK1,PNPT1,TXNIP	4.70631856045557e-05
GO:0048471	perinuclear region of cytoplasm	Distrofia de Retina	25	461	0.0542299349240781	4.10336291726834e-05	APC,ATCAY,CDKN1A,CHI3L1,CYFIP1,DISC1,DOCK6,EIF2AK3,GAK,KIF1A,MTMR2,ODC1,PIKFYVE,PINK1,PLCZ1,PLEC,PRKCA,PRKN,PSEN1,PSTPIP1,PTPN22,RHPN2,TAF10,TRAK1,UGT1A1	0.000183164605582413
GO:0008250	oligosaccharyltransferase complex	Distrofia de Retina	1	461	0.00216919739696312	0.000120935550880224	DDOST	0.000495321139243471
GO:0098797	plasma membrane protein complex	Distrofia de Retina	4	461	0.00867678958785249	3.08614977912279e-15	EVC,EVC2,HJV,HSPG2	5.07000325605702e-14
GO:0005801	cis-Golgi network	Distrofia de Retina	1	461	0.00216919739696312	8.83667142659051e-08	BCL9	6.10245470715219e-07
GO:0005911	cell-cell junction	Distrofia de Retina	11	461	0.0238611713665944	1.55344762543675e-10	DSG3,DSG4,ILK,LAMA1,MYH2,NPHP1,OBSCN,OCLN,PIKFYVE,PTPRJ,TEK	1.50459707117773e-09
GO:0016604	nuclear body	Distrofia de Retina	8	461	0.017353579175705	6.76050639108017e-08	CDKN1A,CORIN,CREBBP,FANCD2,MDM2,OBSCN,TP53BP1,ZCCHC8	4.75396339829382e-07
GO:0045111	intermediate filament cytoskeleton	Distrofia de Retina	4	461	0.00867678958785249	2.36122122745604e-08	DISC1,KRT17,MTRR,PLEC	1.74821187032803e-07
GO:0042734	presynaptic membrane	Distrofia de Retina	1	461	0.00216919739696312	4.16452141363682e-10	ITSN2	3.81747796250042e-09
GO:0010008	endosome membrane	Distrofia de Retina	8	461	0.017353579175705	1.64196326944392e-06	ABCA2,AP3D1,AQP4,ATP6V0A4,MRC1,OCA2,PIKFYVE,TLR3	9.29640968729278e-06
GO:0016281	eukaryotic translation initiation factor 4F complex	Distrofia de Retina	1	461	0.00216919739696312	0.011007215432796	EIF4G1	0.0313329237828204
GO:0030017	sarcomere	Distrofia de Retina	6	461	0.0130151843817787	0.000796810859769723	ILK,MYH2,MYH8,PSMA6,SYNE1,TPM1	0.00284048315751244
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	Distrofia de Retina	2	461	0.00433839479392625	0.00507658059421903	BLK,HIP1	0.0155735739344568
GO:0005606	laminin-1 complex	Distrofia de Retina	1	461	0.00216919739696312	1.98293107995629e-12	LAMA1	2.52373046539891e-11
GO:0043194	axon initial segment	Distrofia de Retina	1	461	0.00216919739696312	2.60335658798637e-11	KCNQ2	2.84338237269433e-10
GO:0005778	peroxisomal membrane	Atrofia optica	1	83	0.0120481927710843	4.60127098498717e-16	PEX11B	8.64141136204908e-15
GO:0032991	protein-containing complex	Atrofia optica	5	83	0.0602409638554217	8.11868103418315e-09	MAGI2,OCLN,PCM1,PEX11B,SIRT3	6.47811854541039e-08
GO:0048471	perinuclear region of cytoplasm	Atrofia optica	5	83	0.0602409638554217	3.52466978941111e-15	CYFIP1,GAK,MAGI2,MTMR2,XRCC3	5.65415778718032e-14
GO:0043202	lysosomal lumen	Atrofia optica	2	83	0.0240963855421687	3.1973969766119e-11	GUSB,IDUA	3.46759953801572e-10
GO:0000795	synaptonemal complex	Atrofia optica	1	83	0.0120481927710843	2.56662037449263e-10	RNF212	2.4249051390912e-09
GO:0031965	nuclear membrane	Atrofia optica	3	83	0.036144578313253	1.53605597937273e-33	LMNB1,PCM1,SYNE1	3.94254368039001e-31
