ID	name	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
HP:0002157	Azotemia	Distrofia de Retina	34	926	0.0367170626349892	2.10471520063956e-10	AASS,ACADVL,ACAT1,ALMS1,ARG1,C3,CFH,CFHR1,CFI,COL4A3,DBH,DLD,EIF2AK3,ELP1,ERCC8,FAN1,FLT1,HADH,HADHA,HBB,LMAN1,MMAA,MMUT,NBAS,NR1H4,PCCA,PDHB,PFKM,PKD1,SLC22A12,SLC25A15,SLC2A9,SLC7A7,TNFRSF11A	6.94023176919754e-10
HP:0000119	Abnormality of the genitourinary system	Distrofia de Retina	11	926	0.0118790496760259	1.83389717299239e-35	AASS,COL7A1,DISP1,ITGA6,MEFV,MMP1,PLEC,PTCH1,SLC7A7,STIL,TGIF1	1.01375111631728e-34
HP:0003077	Hyperlipidemia	Distrofia de Retina	30	926	0.0323974082073434	1.89856106989453e-16	ABCA1,ABCG5,ABHD5,AGL,ALMS1,APOA5,BSCL2,CFH,CFHR1,CIDEC,CYP19A1,GNAS,GYS2,LDLR,LEPR,LIPC,LMAN1,LPL,LRP6,LYST,NPHS1,PDE11A,PNPLA2,PRKAR1A,RAB27A,RSPO1,SLC7A7,SYNE1,SYNE2,XRCC4	7.47939748517996e-16
HP:0003107	Abnormal circulating cholesterol concentration	Distrofia de Retina	27	926	0.0291576673866091	3.03044656375892e-58	ABCA1,ABCA2,ABCB4,ABCG5,ALG6,ALMS1,ANGPTL3,APOA5,BSCL2,FDFT1,GALNT2,GHR,GPIHBP1,IFT172,LDLR,LIPC,LPL,LRP6,MTTP,PMM2,RSPO1,SAR1B,SLC7A7,SYNE1,SYNE2,TDP1,UBR1	2.15544390405242e-57
HP:0002733	Abnormality of the lymph nodes	Distrofia de Retina	47	926	0.050755939524838	1.63042565432567e-150	ABCA1,ASAH1,ASXL1,ATM,BRCA1,BRCA2,CD81,DCLRE1C,DIS3L2,EWSR1,FIP1L1,FOXP1,HABP2,ICOS,IFNGR1,IL10,IL23R,IL7R,IRF4,JAK2,KRAS,LRBA,LYST,MALT1,MCM4,MEFV,MPL,MS4A1,MVK,NCF4,NLRP12,NPM1,NUMA1,PRKAR1A,PTPN22,PTPRC,RAB27A,SNX10,STAT5B,SYK,TBL1XR1,TNFRSF13C,TNFRSF1B,WT1,WWOX,XRCC4,ZAP70	2.31143337660864e-149
HP:0000364	Hearing abnormality	Distrofia de Retina	7	926	0.00755939524838013	4.09771542619327e-50	ABCA12,COL11A1,FGFR2,ITPR1,NBN,PAX6,WT1	2.76363720006044e-49
HP:0001438	Abnormal abdomen morphology	Distrofia de Retina	3	926	0.00323974082073434	1.04835979950544e-19	ABCA12,GSN,TMEM67	4.39593928001879e-19
HP:0012735	Cough	Distrofia de Retina	19	926	0.0205183585313175	2.66475896044131e-05	ABCA3,ACAT1,BLNK,CCDC39,CCDC40,CSF2RB,DNAH9,EPOR,GBA,IGLL1,IRF4,MUC5B,PIK3R1,PTPN22,SCNN1A,SCNN1G,SFTPA1,SFTPC,WWOX	7.24981419524764e-05
HP:0000818	Abnormality of the endocrine system	Distrofia de Retina	44	926	0.0475161987041037	1.79408445773346e-16	ABCB11,ABCB4,ABCC6,ALDOA,ATM,ATP8B1,BRAF,CD36,CDH23,CLCNKB,COL7A1,CYB5A,DCC,ENPP1,ENTPD1,GALT,GATA4,GBA,GHR,HBB,LEMD3,LEPR,MMP1,NF1,NIPBL,NOTCH2,NR1H4,OCA2,PCSK1,POLR3B,POLR3H,RAB18,RAB3GAP1,RAB3GAP2,RBM28,ROBO1,SEMA3E,SMC3,SNRPN,STAT5B,VPS13B,WDR11,WT1,WWOX	7.09463379490803e-16
HP:0002904	Hyperbilirubinemia	Distrofia de Retina	17	926	0.0183585313174946	9.19558018043772e-61	ABCB11,ABCB4,ABCD3,AMACR,ATP8B1,EIF2AK3,HK1,LBR,MTTP,NR1H4,RFX6,RHAG,RHD,SPTA1,SPTB,TRMU,WDR35	6.70055562798329e-60
