ID	name	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
HP:0100806	Sepsis	Distrofia de Retina	15	526	0.0285171102661597	3.78756536800755e-23	ABCA12,ALOX12B,APC,CD79B,DCLRE1C,GDNF,IGLL1,KRT14,LAMA3,LRBA,MMUT,MYH11,MYLK,NCF2,NCF4	1.27811163329324e-22
HP:0002904	Hyperbilirubinemia	Distrofia de Retina	7	526	0.0133079847908745	3.14515756027164e-102	ABCB11,AMACR,DGUOK,EIF2AK3,ODC1,RHCE,RHD	1.87249201891887e-101
HP:0001871	Abnormality of blood and blood-forming tissues	Distrofia de Retina	7	526	0.0133079847908745	0.0199216320046748	ABHD5,CARD9,CYP2A6,CYP2C9,CYP4V2,ITGA2,STXBP2	0.0455546783975211
HP:0012103	Abnormality of the mitochondrion	Distrofia de Retina	20	526	0.0380228136882129	2.02401093545281e-48	ACAD8,ACAD9,COX4I1,CPT2,DGUOK,ETFA,GATM,GFM1,HMGCL,ISCU,MFF,MYH14,NDUFAF1,NDUFB9,NEB,PDHX,PNPT1,SLC34A1,TTN,TYMP	8.69594389020576e-48
HP:0002157	Azotemia	Distrofia de Retina	21	526	0.0399239543726236	2.10686197047988e-120	ACAD9,ASL,CFH,CFHR1,CFI,COL4A3,CORIN,CPT2,EIF2AK3,ERCC8,FAN1,HMGCL,MMACHC,MMUT,NBAS,PCCA,PKD1,SH2B1,SLC2A9,TUFM,UMOD	1.40485556191598e-119
HP:0002721	Immunodeficiency	Distrofia de Retina	31	526	0.05893536121673	2.86857702340715e-230	ACTB,AICDA,AP3D1,ATM,BCR,CARD9,CD19,CD247,CD3D,CD3G,CD40,CD79B,CDH23,CFTR,CREBBP,DCLRE1C,GCLC,IFNGR2,IGLL1,LRBA,MIF,MMUT,MS4A1,NCF2,ORAI1,PRKDC,SEC23B,SHANK3,TBCE,TICAM1,TLR3	3.36754781550684e-229
HP:0003010	Prolonged bleeding time	Distrofia de Retina	9	526	0.0171102661596958	5.6062642904578e-52	ADAMTSL2,COL5A1,GP6,HPS6,JAK2,NBEAL2,PLEC,TEK,VWF	2.46586875255756e-51
HP:0100699	Scarring	Distrofia de Retina	4	526	0.00760456273764259	9.34383931711093e-89	ADAMTSL2,COL1A2,ECM1,ERCC8	5.1406535120871e-88
HP:0003552	Muscle stiffness	Distrofia de Retina	13	526	0.0247148288973384	1.14882553609377e-125	ADAR,ANO5,ATP2A1,CLCN1,CPT2,KIF11,MYPN,NEB,RNASEH2C,RYR1,SLC16A1,SLC6A5,TNFRSF1A	7.88103773114533e-125
HP:0001558	Decreased fetal movement	Distrofia de Retina	27	526	0.0513307984790875	7.13435325363913e-48	AGRN,ALG8,AP3B2,CACNA1A,CNTN1,COL6A1,COL6A3,DHCR7,DHDDS,DMPK,DNM1,GBA,GLE1,ITGA7,MAGEL2,MEGF10,MYH7,MYPN,NDN,NEB,OCA2,ODC1,PAX7,RYR1,SNRPN,SYNE1,TRAK1	3.04167950736993e-47
