ID	description	disease	gene_count	gene_total	gene_ratio	genes	p_value	p_adjust
IPR001590	Peptidase_M12B	Distrofia de Retina	3	340	0.00882352941176471	ADAM7,ADAMTS1,ADAMTS17	2.42383559922093e-05	7.70241090419095e-05
IPR017981	GPCR_2-like	Distrofia de Retina	1	340	0.00294117647058824	ADGRV1	0.00065294606415004	0.00170075204323234
IPR003644	Calx_beta	Distrofia de Retina	1	340	0.00294117647058824	ADGRV1	6.23051686934202e-12	3.26360407441725e-11
IPR000203	GPS	Distrofia de Retina	2	340	0.00588235294117647	ADGRV1,PKD1	8.71222860823733e-05	0.000262837276577624
IPR000082	SEA_dom	Distrofia de Retina	3	340	0.00882352941176471	AGRN,HSPG2,TMPRSS15	7.38490013749289e-11	3.54376080423316e-10
IPR003884	FacI_MAC	Distrofia de Retina	3	340	0.00882352941176471	AGRN,C7,CFI	3.1276915484332e-14	1.84818136952871e-13
IPR013767	PAS_fold	Distrofia de Retina	2	340	0.00588235294117647	AHR,NCOA1	7.11803321280813e-23	6.20657774043636e-22
IPR000014	PAS	Distrofia de Retina	2	340	0.00588235294117647	AHR,NCOA1	7.11803321280813e-23	6.20657774043636e-22
IPR013655	PAS_fold_3	Distrofia de Retina	1	340	0.00294117647058824	AHR	5.8434332883958e-23	5.15809234716419e-22
IPR011598	bHLH_dom	Distrofia de Retina	2	340	0.00588235294117647	AHR,NCOA1	2.74310495181329e-20	2.01161029799641e-19
IPR017892	Pkinase_C	Distrofia de Retina	2	340	0.00588235294117647	AKT3,PRKCA	9.64342526427482e-18	6.59813307555645e-17
IPR000961	AGC-kinase_C	Distrofia de Retina	6	340	0.0176470588235294	AKT3,DMPK,GRK3,MASTL,PRKCA,ROCK1	5.32562068951317e-14	3.12116294508354e-13
IPR006020	PTB/PI_dom	Distrofia de Retina	2	340	0.00588235294117647	APBA2,TNS3	4.93662477306549e-09	2.08857201937386e-08
IPR000198	RhoGAP_dom	Distrofia de Retina	3	340	0.00882352941176471	ARHGAP45,BCR,MYO9B	2.23510568049443e-07	8.47798706394439e-07
IPR031160	F_BAR	Distrofia de Retina	2	340	0.00588235294117647	ARHGAP45,PSTPIP1	0.0112993952902064	0.02429794776691
IPR000219	DH-domain	Distrofia de Retina	4	340	0.0117647058823529	ARHGEF10,BCR,ITSN2,OBSCN	2.27422379616405e-46	3.91824099821035e-45
IPR006068	ATPase_P-typ_cation-transptr_C	Distrofia de Retina	2	340	0.00588235294117647	ATP2A1,ATP2A3	4.69894974773367e-09	1.99985063668427e-08
IPR004014	ATPase_P-typ_cation-transptr_N	Distrofia de Retina	2	340	0.00588235294117647	ATP2A1,ATP2A3	4.69894974773367e-09	1.99985063668427e-08
IPR000008	C2_dom	Distrofia de Retina	7	340	0.0205882352941176	BCR,CADPS2,ITSN2,NEDD4,PLCZ1,PRKCA,RASA1	1.91571749642672e-33	2.49043274535474e-32
IPR015123	Bcr-Abl_oncoprot_oligo	Distrofia de Retina	1	340	0.00294117647058824	BCR	1.88163809034063e-15	1.19059401291465e-14
IPR001452	SH3_domain	Distrofia de Retina	15	340	0.0441176470588235	BLK,DOCK4,ITSN2,MYO7A,NCF2,NCF4,NEB,NPHP1,OBSCN,PLEC,PSTPIP1,RASA1,SHANK2,SHANK3,SPTAN1	1.04923223020411e-11	5.43623945359376e-11
IPR001487	Bromodomain	Distrofia de Retina	2	340	0.00588235294117647	BRD2,CREBBP	2.18991558940828e-47	3.81899913762663e-46
IPR000436	Sushi_SCR_CCP_dom	Distrofia de Retina	5	340	0.0147058823529412	C7,CFH,CFHR1,CSMD1,TPO	0.00302014500029568	0.00717409858874223
IPR020864	MACPF	Distrofia de Retina	1	340	0.00294117647058824	C7	3.66559067022491e-15	2.2889933006208e-14
IPR040729	Kazal_3	Distrofia de Retina	1	340	0.00294117647058824	C7	3.66559067022491e-15	2.2889933006208e-14
IPR015134	MEF2-bd	Distrofia de Retina	1	340	0.00294117647058824	CABIN1	7.97656887928054e-10	3.59826293292466e-09
IPR031649	GPHH_dom	Distrofia de Retina	3	340	0.00882352941176471	CACNA1A,CACNA1C,CACNA1D	3.99094582615198e-06	1.39196403204813e-05
IPR014873	VDCC_a1su_IQ	Distrofia de Retina	3	340	0.00882352941176471	CACNA1A,CACNA1C,CACNA1D	3.99094582615198e-06	1.39196403204813e-05
IPR005821	Ion_trans_dom	Distrofia de Retina	14	340	0.0411764705882353	CACNA1A,CACNA1C,CACNA1D,CACNA1H,CATSPER2,CNGA1,KCNQ2,RYR1,RYR2,TRPA1,TRPC6,TRPM1,TRPM2,TRPM7	0.00178223611791278	0.00434914274507726
IPR031688	CAC1F_C	Distrofia de Retina	2	340	0.00588235294117647	CACNA1C,CACNA1D	2.20229897851263e-05	7.04538599389946e-05
IPR001715	CH-domain	Distrofia de Retina	7	340	0.0205882352941176	CAMSAP2,FLNC,PLEC,SPECC1L,SPTBN2,SYNE1,UTRN	4.13819620402935e-08	1.65759679881288e-07
IPR013763	Cyclin-like	Distrofia de Retina	1	340	0.00294117647058824	CCNH	2.38905305107929e-17	1.59642330048756e-16
IPR031658	Cyclin_C_2	Distrofia de Retina	1	340	0.00294117647058824	CCNH	2.38905305107929e-17	1.59642330048756e-16
IPR001254	Trypsin_dom	Distrofia de Retina	9	340	0.0264705882352941	CFI,CORIN,F11,F12,KLKB1,LPA,PLG,PRSS12,TMPRSS15	0.00140297419348132	0.00349521445414336
IPR001650	Helicase_C	Distrofia de Retina	7	340	0.0205882352941176	CHD1L,CHD3,CHD6,CHD8,DHX37,DHX8,WRN	0.00653553713078107	0.0147178237748298
IPR000330	SNF2_N	Distrofia de Retina	4	340	0.0117647058823529	CHD1L,CHD3,CHD6,CHD8	1.31579088881713e-07	5.08535397569864e-07
IPR000253	FHA_dom	Distrofia de Retina	3	340	0.00882352941176471	CHEK2,KIF1A,SNIP1	0.00365219662283996	0.00857548706194386
IPR011583	Chitinase_II	Distrofia de Retina	2	340	0.00588235294117647	CHI3L1,CHIA	4.69975501034348e-07	1.75473881587237e-06
IPR015348	Clathrin_H-chain_linker_core	Distrofia de Retina	1	340	0.00294117647058824	CLTCL1	8.36355738094127e-12	4.34904983808946e-11
IPR001442	Collagen_IV_NC	Distrofia de Retina	3	340	0.00882352941176471	COL4A1,COL4A2,COL4A3	1.04156350409996e-06	3.83875208985294e-06
IPR013718	COQ9	Distrofia de Retina	1	340	0.00294117647058824	COQ9	0.000111100111182583	0.000327573523692977
IPR000197	Znf_TAZ	Distrofia de Retina	1	340	0.00294117647058824	CREBBP	1.549478022046e-85	4.81685559027343e-84
IPR031162	CBP_P300_HAT	Distrofia de Retina	1	340	0.00294117647058824	CREBBP	1.549478022046e-85	4.81685559027343e-84
IPR000433	Znf_ZZ	Distrofia de Retina	2	340	0.00588235294117647	CREBBP,UTRN	4.20660729486495e-87	1.43224962658497e-85
IPR014744	Nuc_rcpt_coact_CREBbp	Distrofia de Retina	1	340	0.00294117647058824	CREBBP	1.549478022046e-85	4.81685559027343e-84
IPR014930	Myotonic_dystrophy_kinase_coil	Distrofia de Retina	1	340	0.00294117647058824	DMPK	0.00424322031587253	0.00977102262753256
IPR001623	DnaJ_domain	Distrofia de Retina	3	340	0.00882352941176471	DNAJC5,DNAJC6,GAK	6.97610844231403e-09	2.89995205596194e-08
IPR029023	Tensin_phosphatase	Distrofia de Retina	4	340	0.0117647058823529	DNAJC6,GAK,TNS3,TPTE	0.012504103733203	0.0267677669737729
IPR005135	Endo/exonuclease/phosphatase	Distrofia de Retina	2	340	0.00588235294117647	DNASE1,INPP5E	3.30071991365001e-10	1.50799663786566e-09
IPR017927	FAD-bd_FR_type	Distrofia de Retina	2	340	0.00588235294117647	DUOX2,MTRR	6.87358296577715e-07	2.55304510157437e-06
IPR003891	Initiation_fac_eIF4g_MI	Distrofia de Retina	1	340	0.00294117647058824	EIF4G1	0.000111100111182583	0.000327573523692977
IPR003890	MIF4G-like_typ-3	Distrofia de Retina	1	340	0.00294117647058824	EIF4G1	0.000111100111182583	0.000327573523692977
IPR013342	Mandelate_racemase_C	Distrofia de Retina	1	340	0.00294117647058824	ENOSF1	1.35040774445708e-12	7.34252119609743e-12
IPR013341	Mandelate_racemase_N_dom	Distrofia de Retina	1	340	0.00294117647058824	ENOSF1	1.35040774445708e-12	7.34252119609743e-12
IPR029065	Enolase_C-like	Distrofia de Retina	1	340	0.00294117647058824	ENOSF1	1.35040774445708e-12	7.34252119609743e-12
IPR024571	ERAP1-like_C_dom	Distrofia de Retina	2	340	0.00588235294117647	ERAP1,ERAP2	7.15803904869794e-11	3.44646324566938e-10
IPR014782	Peptidase_M1_dom	Distrofia de Retina	2	340	0.00588235294117647	ERAP1,ERAP2	7.15803904869794e-11	3.44646324566938e-10
IPR003609	Pan_app	Distrofia de Retina	3	340	0.00882352941176471	F11,KLKB1,PLG	4.61178587586995e-21	3.52665978742996e-20
IPR000177	Apple	Distrofia de Retina	2	340	0.00588235294117647	F11,KLKB1	5.55970959042198e-20	4.0357282813723e-19
IPR014883	VRR_NUC	Distrofia de Retina	1	340	0.00294117647058824	FAN1	0.00559069313449203	0.0127303999718529
IPR017878	TB_dom	Distrofia de Retina	2	340	0.00588235294117647	FBN1,LTBP1	0.00154342721927102	0.00382513158328866
IPR000679	Znf_GATA	Distrofia de Retina	3	340	0.00882352941176471	GATA5,MTA2,TRPS1	2.90654705529106e-06	1.0212192356428e-05
IPR000795	T_Tr_GTP-bd_dom	Distrofia de Retina	2	340	0.00588235294117647	GFM1,TUFM	5.3152015113009e-06	1.79262692480195e-05
IPR004161	EFTu-like_2	Distrofia de Retina	2	340	0.00588235294117647	GFM1,TUFM	5.3152015113009e-06	1.79262692480195e-05
IPR019594	Glu/Gly-bd	Distrofia de Retina	4	340	0.0117647058823529	GRID2,GRIK1,GRIK4,GRIN2B	1.47858232719055e-11	7.60565729454132e-11
IPR001320	Iontro_rcpt	Distrofia de Retina	4	340	0.0117647058823529	GRID2,GRIK1,GRIK4,GRIN2B	1.47858232719055e-11	7.60565729454132e-11
IPR004046	GST_C	Distrofia de Retina	3	340	0.00882352941176471	GSTM1,GSTT1,GSTT4	1.69895510483598e-06	6.11966196452255e-06
IPR004045	Glutathione_S-Trfase_N	Distrofia de Retina	3	340	0.00882352941176471	GSTM1,GSTT1,GSTT4	1.69895510483598e-06	6.11966196452255e-06
IPR040075	GST_N_Theta	Distrofia de Retina	1	340	0.00294117647058824	GSTT1	0.000196562835218712	0.000555503664748534
IPR040077	GST_C_Theta	Distrofia de Retina	2	340	0.00588235294117647	GSTT1,GSTT4	5.80092004363435e-07	2.16023845374925e-06
IPR000034	Laminin_IV	Distrofia de Retina	2	340	0.00588235294117647	HSPG2,LAMA1	8.31394933411524e-27	9.5878609256329e-26
IPR000300	IPPc	Distrofia de Retina	1	340	0.00294117647058824	INPP5E	4.11250352216014e-05	0.000128123748076013
IPR000261	EH_dom	Distrofia de Retina	1	340	0.00294117647058824	ITSN2	1.6457353322291e-51	3.01718144242002e-50
IPR013099	K_chnl_dom	Distrofia de Retina	2	340	0.00588235294117647	KCNQ2,KCNT1	5.55970959042198e-20	4.0357282813723e-19
IPR003929	K_chnl_BK_asu	Distrofia de Retina	1	340	0.00294117647058824	KCNT1	0.0213231719330713	0.0440637801507109
IPR001752	Kinesin_motor_dom	Distrofia de Retina	4	340	0.0117647058823529	KIF17,KIF1A,KIF27,KIF7	0.00658969762653968	0.0148164584999241
IPR039008	IF_rod_dom	Distrofia de Retina	8	340	0.0235294117647059	KRT14,KRT16,KRT17,KRT37,KRT83,KRT85,KRT86,PRPH	0.0012600619993738	0.0031612081738676
IPR003887	LEM_dom	Distrofia de Retina	1	340	0.00294117647058824	LEMD3	1.22801505915438e-08	5.04615383503093e-08
IPR029415	Lines_C	Distrofia de Retina	1	340	0.00294117647058824	LINS1	0.00424322031587253	0.00977102262753256
IPR031703	Lipin_mid	Distrofia de Retina	1	340	0.00294117647058824	LPIN1	0.000116235035232857	0.000339910225732077
IPR013209	LNS2	Distrofia de Retina	1	340	0.00294117647058824	LPIN1	0.000116235035232857	0.000339910225732077
IPR031315	LNS2/PITP	Distrofia de Retina	2	340	0.00588235294117647	LPIN1,PITPNM3	9.0519502501117e-06	2.99636316149531e-05
IPR000409	BEACH_dom	Distrofia de Retina	1	340	0.00294117647058824	LRBA	2.80219014301146e-25	2.9464205180194e-24
IPR031570	NBEA/BDCP_DUF4704	Distrofia de Retina	1	340	0.00294117647058824	LRBA	2.80219014301146e-25	2.9464205180194e-24
IPR000313	PWWP_dom	Distrofia de Retina	1	340	0.00294117647058824	MBD5	0.00136792242224807	0.00341383780770461
IPR001739	Methyl_CpG_DNA-bd	Distrofia de Retina	1	340	0.00294117647058824	MBD5	2.90654705529106e-06	1.0212192356428e-05
IPR021643	Mediator_Med13_N	Distrofia de Retina	1	340	0.00294117647058824	MED13L	3.20608985755575e-10	1.47418279623946e-09
IPR041285	MID_MedPIWI	Distrofia de Retina	1	340	0.00294117647058824	MED13L	3.20608985755575e-10	1.47418279623946e-09
IPR001709	Flavoprot_Pyr_Nucl_cyt_Rdtase	Distrofia de Retina	1	340	0.00294117647058824	MTRR	5.25288125105288e-05	0.000162941869609666
IPR001433	OxRdtase_FAD/NAD-bd	Distrofia de Retina	1	340	0.00294117647058824	MTRR	5.25288125105288e-05	0.000162941869609666
IPR006166	ERCC4_domain	Distrofia de Retina	1	340	0.00294117647058824	MUS81	0.00817991270640285	0.0180235364717351
IPR000159	RA_dom	Distrofia de Retina	2	340	0.00588235294117647	MYO9B,RALGDS	0.0017070006234697	0.00417266819070371
IPR013681	Myelin_TF	Distrofia de Retina	1	340	0.00294117647058824	MYT1L	0.01593791994312	0.0334672915105163
IPR006195	aa-tRNA-synth_II	Distrofia de Retina	1	340	0.00294117647058824	NARS2	0.000276212378928774	0.00076104759512167
IPR013244	Sec39_domain	Distrofia de Retina	1	340	0.00294117647058824	NBAS	1.22801505915438e-08	5.04615383503093e-08
IPR029145	NBAS_N	Distrofia de Retina	1	340	0.00294117647058824	NBAS	1.22801505915438e-08	5.04615383503093e-08
IPR000270	PB1_dom	Distrofia de Retina	2	340	0.00588235294117647	NCF2,NCF4	2.90654705529106e-06	1.0212192356428e-05
IPR000569	HECT_dom	Distrofia de Retina	3	340	0.00882352941176471	NEDD4,TRIP12,UBE3A	3.46756481404771e-48	6.12175022726941e-47
IPR013164	Cadherin_N	Distrofia de Retina	15	340	0.0441176470588235	PCDHA1,PCDHA10,PCDHA11,PCDHA12,PCDHA13,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6,PCDHA7,PCDHA8,PCDHA9,PCDHAC1,PCDHAC2	6.53642373513608e-181	4.24867542783845e-179
IPR031904	Cadherin_CBD	Distrofia de Retina	15	340	0.0441176470588235	PCDHA1,PCDHA10,PCDHA11,PCDHA12,PCDHA13,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6,PCDHA7,PCDHA8,PCDHA9,PCDHAC1,PCDHAC2	6.53642373513608e-181	4.24867542783845e-179
IPR017455	Znf_FYVE-rel	Distrofia de Retina	1	340	0.00294117647058824	PIKFYVE	5.18395979087987e-34	6.8009747715213e-33
IPR000306	Znf_FYVE	Distrofia de Retina	1	340	0.00294117647058824	PIKFYVE	5.18395979087987e-34	6.8009747715213e-33
IPR000591	DEP_dom	Distrofia de Retina	1	340	0.00294117647058824	PIKFYVE	5.25327176736269e-10	2.38481861185036e-09
IPR040110	PINK1_STKc	Distrofia de Retina	1	340	0.00294117647058824	PINK1	3.20608985755575e-10	1.47418279623946e-09
IPR004177	DDHD_dom	Distrofia de Retina	1	340	0.00294117647058824	PITPNM3	0.00424322031587253	0.00977102262753256
IPR005326	S10_plectin_N	Distrofia de Retina	1	340	0.00294117647058824	PLEC	1.74122110656137e-24	1.71720426371225e-23
IPR013507	DNA_mismatch_S5_2-like	Distrofia de Retina	1	340	0.00294117647058824	PMS2	0.0231901418829378	0.0475790419670157
IPR014790	MutL_C	Distrofia de Retina	1	340	0.00294117647058824	PMS2	0.00667442348316939	0.0149599147036555
IPR015847	ExoRNase_PH_dom2	Distrofia de Retina	1	340	0.00294117647058824	PNPT1	0.00197476798145298	0.00477820340689977
IPR001247	ExoRNase_PH_dom1	Distrofia de Retina	1	340	0.00294117647058824	PNPT1	0.00197476798145298	0.00477820340689977
IPR015848	PNPase_PH_RNA-bd_bac/org-type	Distrofia de Retina	1	340	0.00294117647058824	PNPT1	0.00197476798145298	0.00477820340689977
IPR004087	KH_dom	Distrofia de Retina	1	340	0.00294117647058824	PNPT1	0.00197476798145298	0.00477820340689977
IPR004088	KH_dom_type_1	Distrofia de Retina	1	340	0.00294117647058824	PNPT1	0.00197476798145298	0.00477820340689977
IPR000585	Hemopexin-like_dom	Distrofia de Retina	1	340	0.00294117647058824	PRG4	0.000342575802756226	0.000926055572668059
IPR020436	Somatomedin_B_chordata	Distrofia de Retina	1	340	0.00294117647058824	PRG4	0.000109786696195226	0.000327072865748277
