category_name	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
Endocrine system	Distrofia de Retina	45	340	0.132352941176471	6.53036814201973e-06	ACACA,ACACB,ACADL,ACSL5,BRAF,CACNA1C,CACNA1S,CBLB,CD36,CTSA,CYP4A22,EDNRB,FASN,G6PC,GNAI3,GNAS,GYS2,INPP5D,ITPR1,JAK2,KITLG,KRAS,LEPR,LHB,LPL,MAPK10,MME,MMP1,PDPK1,PFKM,PIK3CA,PIK3R1,PLCB4,PLD2,PLTP,PPP1R3A,PRKAR1A,PRKAR1B,PRKCA,RPTOR,SCP2,SOS1,TCF4,TYRP1,WNT5A	3.25157913738066e-05
Energy metabolism	Distrofia de Retina	7	340	0.0205882352941176	1.20055431297016e-06	ACO2,ALDOA,ASNS,CTH,IDH2,SUCLA2,SULT1A1	6.66255738092807e-06
Signal transduction	Distrofia de Retina	71	340	0.208823529411765	3.3059383463619e-19	ACVR1,ACVR1C,ACVR2A,ACVR2B,BRAF,CACNA1A,CACNA1C,CACNA1E,CACNA1S,CACNA2D1,CACNA2D3,CBLB,CDKN1A,CHRNA7,CSF2RB,CSH1,DGKE,EDNRB,EGF,EPOR,ERBB4,FBXW11,GADD45A,GH2,GHR,GNAS,GRM1,GRM5,HIF1A,IFNG,IFNGR1,IL10,IL19,IL1R1,IL3,IL7R,INPP5D,ITPR1,JAK2,KDR,KRAS,LEPR,LIFR,MAPK10,MAX,MECOM,MTTP,NF1,NOTCH2,PDPK1,PIK3CA,PIK3R1,PIKFYVE,PLCB4,PLCD1,PLCE1,PLCZ1,PPP3CA,PPP3R1,PRKCA,PTEN,PTPRQ,RASA1,ROCK1,RPTOR,RRAS2,SOS1,TCF4,TGFBR1,THBS2,WNT5A	5.26746176520329e-18
Development and regeneration	Distrofia de Retina	14	340	0.0411764705882353	1.19758104729043e-07	ARHGEF12,CFL2,EPHA5,EPHA7,GNAI3,ITGB1,KRAS,MET,MTTP,PPP3CA,PPP3R1,RASA1,ROCK1,SEMA6D	7.53215448164244e-07
Cell motility	Distrofia de Retina	26	340	0.0764705882352941	9.230292666923e-07	ARHGEF12,BRAF,CFL2,CYFIP1,DIAPH3,EGF,FN1,IQGAP2,ITGA2,ITGA3,ITGA6,ITGA9,ITGAM,ITGB1,ITGB3,ITGB6,KRAS,MYH14,NCKAP1,PIK3CA,PIK3R1,PIKFYVE,RDX,ROCK1,RRAS2,SOS1	5.25247606522523e-06
Cell growth and death	Distrofia de Retina	23	340	0.0676470588235294	3.98396337845544e-44	ATM,ATR,BUB1,CCNH,CDK4,CDKN1A,CHEK2,CSF2RB,GADD45A,IL1R1,IL3,MAD1L1,MTTP,ORC4,PIK3CA,PIK3R1,PPP3CA,PPP3R1,PRKAR1A,PRKAR1B,PTEN,RB1,TNFRSF10B	2.76526082228792e-42
Immune system	Distrofia de Retina	56	340	0.164705882352941	4.91266083287311e-32	BLNK,BRAF,C5,CBLB,CCL5,CD36,CD8A,CDK4,CFI,CPB2,CTNNA3,EPOR,F10,F13B,F5,GNAI3,GYPE,ICOS,IFNG,IFNGR1,IL10,IL1R1,IL3,IL7R,INPP5D,ITGA2,ITGA3,ITGA6,ITGAM,ITGB1,ITGB3,KIR2DL3,KITLG,KRAS,LYN,MAPK10,MASP1,MASP2,MBL2,MME,MMP9,OCLN,PHF11,PIK3CA,PIK3R1,PPP3CA,PPP3R1,PRKCA,PTPRC,RFXANK,ROCK1,SOS1,SYK,TBK1,TNFRSF10B,VWF	1.67732277008096e-30
Folding, sorting and degradation	Distrofia de Retina	9	340	0.0264705882352941	4.22222494264228e-15	CBLB,CUL3,ERCC8,FANCL,FBXW11,FBXW7,PRKN,TRIM32,UBE3A	4.58687164223411e-14
Replication and repair	Distrofia de Retina	15	340	0.0441176470588235	5.89943959122202e-05	CCNH,DCLRE1C,EME1,ERCC5,ERCC8,FANCD2,MRE11,MSH3,PMS2,POLE2,RAD51B,RAD54B,RNASEH2B,RPA1,XRCC4	0.000261439835907173
Transport and catabolism	Distrofia de Retina	1	340	0.00294117647058824	8.25650840610665e-08	IFNG	5.33325813259321e-07
Biosynthesis of other secondary metabolites	Atrofia optica	3	52	0.0576923076923077	0.00673729307199104	AADAC,CYP2A6,HK1	0.0233364209305197
Amino acid metabolism	Atrofia optica	6	52	0.115384615384615	4.07416261149368e-06	AASS,ADH1B,ADH4,CHKB,NOS3,PRODH	2.11679318292824e-05
Signaling molecules and interaction	Atrofia optica	14	52	0.269230769230769	4.15688635794313e-11	ACVR2A,CD36,COL11A1,COL5A1,CSH1,GH2,LEPR,LHB,OCLN,PCDHA4,PCDHA6,RELN,SELP,VWF	3.82113784441695e-10
Cell growth and death	Atrofia optica	4	52	0.0769230769230769	0.000252587549322991	AKT3,CCNH,PIK3CA,PTEN	0.00105909516295079
Membrane transport	Encefalopatias, DI, Epilepsia	5	190	0.0263157894736842	3.90693003121935e-08	ABCA10,ABCA12,ABCC1,ABCC6,CFTR	2.59376743739285e-07
Metabolism of terpenoids and polyketides	Encefalopatias, DI, Epilepsia	5	190	0.0263157894736842	4.48296979955396e-24	ACAD9,ALDH3A2,CYP2C19,FDFT1,HADH	1.0714297820934e-22
Amino acid metabolism	Encefalopatias, DI, Epilepsia	12	190	0.0631578947368421	0.00173318044209783	ADH4,ALDH3A2,ASPA,BCAT2,CTH,FANCA,HADH,INMT,PRMT7,PRODH,SHMT1,YARS	0.00679065779772756
Metabolism of other amino acids	Encefalopatias, DI, Epilepsia	11	190	0.0578947368421053	7.11903027870222e-09	ALDH3A2,CTH,GBA,GSR,GSTA2,GSTM1,GSTP1,GSTT1,PAPSS2,PRMT7,SHMT1	5.15590374730252e-08
Nervous system	Encefalopatias, DI, Epilepsia	9	190	0.0473684210526316	1.82076993978398e-07	BRAF,CALM1,GUCY2C,ITPR1,KRAS,LYN,PLCB4,PPP2R1B,PRKCA	1.11580516822659e-06
Translation	Encefalopatias, DI, Epilepsia	2	190	0.0105263157894737	3.21715766797409e-07	DARS2,YARS	1.92225170661452e-06
Development and regeneration	Encefalopatias, DI, Epilepsia	8	190	0.0421052631578947	0.00428893497811932	EPHA2,EPHA3,EPHB2,EPHB6,KRAS,MET,RASA1,ROBO1	0.0155311433298563
Amino acid metabolism	Cardiopatia	13	101	0.128712871287129	0.002255022971749	ACADM,ADH4,ALDH7A1,ASPA,CBS,CTH,FANCA,HADHB,HAL,MSMB,PRODH,SHMT1,TAT	0.00855476968647637
Metabolism of other amino acids	Cardiopatia	10	101	0.099009900990099	2.50551310329667e-06	ACADM,ALDH7A1,CBS,CTH,GBA,GSTA2,GSTM1,GSTT1,OPLAH,SHMT1	1.33070584819534e-05
Xenobiotics biodegradation and metabolism	Cardiopatia	22	101	0.217821782178218	1.51501635258356e-05	ACP5,ADH4,AKR1C4,CES1,CYP2A6,CYP2B6,CYP2C19,CYP2D6,CYP2E1,CYP2F1,FANCA,GSTA2,GSTM1,GSTT1,UGT1A10,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B17,UGT2B7	7.24177816534942e-05
Metabolism of cofactors and vitamins	Cardiopatia	18	101	0.178217821782178	0.0118837646305422	ACP5,ADH4,COQ6,CYP2A6,CYP2B6,CYP2C19,DHFR,NMNAT1,SHMT1,UGT1A10,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B17,UGT2B7,UROD	0.0394474964819387
Replication and repair	Cardiopatia	6	101	0.0594059405940594	0.000224416576768277	DCLRE1C,ERCC1,FANCD2,MUTYH,PMS2,RFC2	0.000957777890136039
Transcription	Cardiopatia	2	101	0.0198019801980198	2.44981176231114e-09	GTF2I,GTF2IRD1	1.88872584255601e-08
Biosynthesis of other secondary metabolites	Neuropatías perifericas	3	47	0.0638297872340425	3.00734300089165e-05	AADAC,CYP2A6,GBA	0.000140932348473158
Amino acid metabolism	Neuropatías perifericas	4	47	0.0851063829787234	0.00231223865370063	ACAT2,ALDH7A1,PRODH,SHMT1	0.00863476622241329
